repo,commit,pattern
deadlysyn/terraform-keycloak-aws,1c982ac4120ae3ed5a88c38f2a4d568ad9a83d22,Old generation
deptno/terraform-aws-modules,49f447bdbb3cf23499e8194e78f852ea1e256d3a,AWS - Expensive DynamoDB
dexterchan/Terraform_Webserver,af5af0b8e6a59a9c5879fde7eaaa86d694c2bfa2,Expensive network resource
dfds/infrastructure-modules,1c9c92d966c342d42ac5c915a7c01f6a98a38122,Expensive monitoring
dgorbov/terraform-s3-backend-setup,81f82740760a357a86b3a77f9ed400624edcb218,AWS - Expensive DynamoDB
digio/terraform-google-gitlab-runner,07f8279fe65a35c0e595f3171f3d75791e49a9ae,Expensive instance
dotancohen81/Rancher,90944271b4e8bd46e3d42ac64bc4964a33a8fdc3,Old generation
dshmelev/aws_kube_tc,853298ac74250964aa2d2ea921daa5905528b3a9,Expensive instance
dwp/dataworks-aws-data-egress,14f065e5161fee14c286c34df7db9f5516ef9bb6,Old generation
dwp/dataworks-aws-data-egress,14f065e5161fee14c286c34df7db9f5516ef9bb6,Overprovisioned resources
dylanmtaylor/dylanmtaylor-terraform-aws,44016d6a8e496b69308a81e88af8c9ef8b710ab3,Overprovisioned resources
ecsworkshop2018/expertalk-2018-ecs-workshop,034908d914982eacea51b0ac61f2781069387412,Expensive network resource
eduardobaitello/terraform-eks,c11fca6440a5000648f690e6282778fb4ec73309,Overprovisioned resources
eladidan/speedyhead.xyz-terraform,71f034f3e13e9118a2a954e1fc3c0d35153184f0,Budget
elliotpryde/personal-infrastructure,772c5ad20818738b09d01cd70ca3de80cbf66dcb,Expensive monitoring
elliotpryde/personal-infrastructure,7c4205cd130c5463d7f39aa6f281e198c143d0d9,Expensive monitoring
falldamagestudio/UE4-GHA-BuildSystem,e58083adbf91e7daa8ddb5db6c3b2e5c8c0a906c,Expensive storage type
fdns/terraform-k8s,f106917bb7b2d8d4428022bb119585bf9f35769c,Expensive instance
fdns/terraform-k8s,f106917bb7b2d8d4428022bb119585bf9f35769c,Overprovisioned resources
figurate/bedrock,bffc023eeff075ef281b1fd261897f4c7216b354,Old generation
filhodanuvem/from-dev-to-ops,998be8119321e8812884075b078a1d5fb36cfa69,Spot instances
firehawkvfx/firehawk-prototype-deprecated,894fb1d80c7a3953b7a51d7acd5e9b942faced8f,Expensive network resource
forgotpw/forgotpw-infrastructure,f4363ad27d366385f2388d073ce8af796e035406,Budget
fpco/terraform-aws-foundation,cfe92035f1b281cddfcf62664ec6b96e85e0ac32,Expensive instance
garylb2/terraform-example-patterns,6de6d83d930bd9459e1cf8c311fa7b45c3f90987,AWS - Expensive DynamoDB
giantswarm/giantnetes-terraform,53ed24b573947c73ea9f0f4f8b477c44b7de2d54,Expensive storage type
giuseppeborgese/terraform-locking-s3-state,6b4e59e8b844417dc5c247bdef1b0adb8e2e7028,AWS - Expensive DynamoDB
goodpen/gke-v.1.0,45053a0862bf97f0525862c411fa4da5d59ac397,Expensive instance
greenbrian/musical-spork,24c07bfd5c31438fff6374e9ba3d577e6402d777,Old generation
gudlyf/TerraformOpenVPN,4bc861c153b65a2d7c0d5f3fac30ab72b0fc6942,Expensive instance
gudlyf/TerraformOpenVPN,be1245d8634025277ba79a4155ee88d7eaffcdfb,Old generation
guilhermerenew/infra-cost,ba858d94e29d03e3e81533df8cd8bc85b9f176f1,Overprovisioned resources
guillaumekh/wg-terraform-template,effee9cbc473af5d07cfc3aacece50aa6e59753a,Old generation
hellupline/terraform-eks-cluster,2bd01358b3a30d1680074f9bbd120da3a1456450,Expensive network resource
ibm-cloud-architecture/iks_vpc_lab,629819ce0c440760be155874cb42ab497f0304bd,Expensive instance
imma/fogg-env,7de45302cfa8a7dca88ab61b3021091cc480b495,Expensive network resource
ironpeakservices/infrastructure,2ca24fa9114b5b4389768d5ab93c1e6d99bb287c,Expensive instance
jackofallops/terraform-aws-mysql-cluster,7b2a446b0915a3ad26093f8234f7493ff152138a,Overprovisioned resources
jeffawang/infrastructure,9f610811aea8c523332e9dccad9bb0800b70691e,Expensive network resource
jenkins-infra/aws,586fde061356513609fe4f2014a11ddcec849c35,Expensive instance
jenkins-x/terraform-aws-eks-jx,cce6b14692fccd30c027851607a9526151d4c3d2,AWS - Expensive DynamoDB
jg210/aws-experiments,5ff37f12a421fdd902d8eb1e6d7491ee181fd179,Expensive instance
jg210/aws-experiments,b09b668e5c3a11366551168541480b69e94c8c3a,Old generation
jharley/azure-basic-demo,7cd3d202d8723c565704f23c143cae3b1e1d6d2b,Expensive instance
jjffggpp/jjffggpp,93ee12adde6ac773c76b590fe89c24df372f326b,Expensive instance
jkstenzel95/jks.gameservers,411ab992ba07e698cb08b56eb4cfc9d6e001d43f,AWS - Expensive DynamoDB
joelchrist/terraform,bbf18d695bd7597977ea7a97d5434ca7f1a37d57,Expensive instance
joshuaspence/infrastructure,d8e1979ea7954076f64ab4d3337b95f14a06fc31,Expensive network resource
joshuaspence/infrastructure,b9b9465314e3b5ada78340d06b90703136cdf3dc,Expensive network resource
jshcmpbll/Cloud-Mac-KVM,361885d22c0304cb44683f9b005f82ca5e269841,Expensive storage type
jshcmpbll/Cloud-Mac-KVM,361885d22c0304cb44683f9b005f82ca5e269841,Overprovisioned resources
jsoconno/aws-terraform-remote-state-infrastructure,fed8be2748bc2286a6f9888d282d66763ba612ed,AWS - Expensive DynamoDB
kathputli/terraform-aws,321b1aee88f7d15dafe46aede2b86ced70061025,Spot instances
kaz/kiritan.com,1cd96c7f71e56629ffa07c38e12c4da19fcfc5f7,Spot instances
kaz/kiritan.com,1cd96c7f71e56629ffa07c38e12c4da19fcfc5f7,Expensive instance
kaz/kiritan.com,1cd96c7f71e56629ffa07c38e12c4da19fcfc5f7,Overprovisioned resources
kelledge/idkfa,25cda0b77ff329a89551cc6f14fe8c62820fd424,Budget
kinvolk-archives/lokomotive-kubernetes,f2f4deb8bb44988eeb0b64b919e51fb556aef4fb,Old generation
kinvolk-archives/lokomotive-kubernetes,0c4d59db87b67d7c7a0a0f54677961a01ed8fbe4,Expensive network resource
kitchen/personal-terraform,fe1f2665b198308a438ec3d46b24843089df1a2a,Expensive network resource
kmishra9/PL2-AWS-Setup,0d7b5b0f6f92ff6cfde1f17ad96d1b1459a0957a,Old generation
kody-abe/terraform,169c7768b0b1584945362c035a2b227d2f579466,AWS - Expensive DynamoDB
kperson/terraform-modules,53bd2d84776f9ed7ae287fc59ed42f87bd7bbc4b,AWS - Expensive DynamoDB
lean-delivery/terraform-module-aws-core,25bbff736936b64a6120ef9608498830ecec33c0,Expensive network resource
lowflying/OVPN---TF,be1245d8634025277ba79a4155ee88d7eaffcdfb,Old generation
mads-hartmann/cloud.mads-hartmann.com,667f5715c19534bfe5b01ad692979447412fd033,Expensive network resource
masterpointio/terraform-aws-nuke-bomber,33fbb76715ce6e35565b5f83f7ece0f9df37d282,Expensive network resource
matihost/monorepo,6995c99e0561c29b6e8d0ff84d3b2504d1772fe8,Expensive monitoring
midl-dev/tezos-auxiliary-cluster,9cbfebaab11cb3466b160d18ef2eb46c0b875d55,Expensive instance
ministryofjustice/cloud-platform-environments,ce502048eb3cd95e708f4575efefaf8dc60d7722,Old generation
ministryofjustice/cloud-platform-environments,b6cea25115ac93a788cdedc2fe2f94d2c7ff6658,Old generation
ministryofjustice/cloud-platform-environments,aa07f2d9772cc376589bec2cbb42f9ba849927db,Old generation
ministryofjustice/cloud-platform-environments,0c1b4028575aeaabf7543c7357c4e26d610677c3,AWS - Expensive DynamoDB
ministryofjustice/cloud-platform-infrastructure,e5dd13d33c1e927f932971d067d8f70e9041b5f3,Expensive instance
ministryofjustice/cloud-platform-terraform-monitoring,87401ba23af26d379d8132cc09fd7cd212773ba1,Expensive storage type
ministryofjustice/cloud-platform-terraform-monitoring,87401ba23af26d379d8132cc09fd7cd212773ba1,Overprovisioned resources
ministryofjustice/hmpps-env-configs,670c006bad288d0360c3811aa63b3c323753c385,Expensive instance
ministryofjustice/hmpps-env-configs,954dda617d47007a8a1ff5780d3174e900e95be1,Expensive instance
ministryofjustice/hmpps-env-configs,0328838420ac0d3754cf772a7d2f5bb1612193ed,Expensive storage type
ministryofjustice/hmpps-env-configs,7c1ba780a59f6a8682870318e70bf800a2d183a2,Expensive storage type
mintak21/terraform-old,c10b476d869282ed6cf55def47445b9c703788fe,Budget
naciriii/terraform-ec2-gitlab-runner,f8af6bc22bd3d827566e7e65deb63c13cdaf6031,Spot instances
naftulikay/titan,a0ea4fd84a409fe4ee853effa9f309a005b0efc1,Expensive network resource
nagpach/terraform-example-aws-vpc,35d26fd046185ae079e09fa6435c41ae685e679e,Expensive network resource
nikkiwritescode/flask-app-terraform-deployment,af47bb6201f1dcc8264e60da429e4ff8d126e56c,AWS - Expensive DynamoDB
ninthnails/terraform-aws-camellia,0019704e14723aaf326840ab36c594c3f514a2d4,Old generation
nisunisu/AWS_Blue_Green_Deployment,d0741cddb32ed7970904693e3a697603fa21bbbb,Expensive network resource
nsbno/terraform-aws-cost-alarm,7e135499d33f0a5c51602a506fefe258cac072c6,Budget
ntk1000/aws-terraform-template,d016b96d89370b8039817fabdfa055576cf6b4cc,Budget
oke-py/aws-tf,ec2982c8742cc7bc294f8a3cc07ae9ba5ffcaced,Budget
olliefr/aws-terraform-cloud1,bf753832a519b0649f8d58d93aa643afe3f94fc7,AWS - Expensive DynamoDB
